,ID,Approved
84,APPH70673564343,0
85,APPI10312387415,0
86,APPJ20310967521,0
87,APPK80886344639,1
88,APPM60863037811,1
89,APPN50560289924,0
90,APPO70832217022,1
91,APPP60583131103,1
92,APPR30748409317,0
93,APPS10305693407,0
94,APPT10792153527,0
95,APPU80979985636,0
96,APPW90127018832,0
97,APPX40629447906,1
98,APPZ20101292145,1
99,APPB10848417338,0
100,APPC40239663433,1
101,APPD20097051518,1
102,APPE50963262622,1
103,APPF90075697702,0
104,APPH10711077908,0
105,APPI90021288035,1
106,APPJ80748148121,1
107,APPK10288641218,1
108,APPL90732086337,0
109,APPM70990842401,0
110,APPN80617857512,0
111,APPO50383745617,0
112,APPP60172178734,0
113,APPR10764977942,0
114,APPT10480648139,0
115,APPU60453258232,1
116,APPX90855367529,0
117,APPY50250927615,1
118,APPZ70422039734,1
119,APPA30393886847,0
120,APPB50127764908,1
121,APPC10119469018,1
122,APPD90858748146,0
123,APPE30664988236,0
124,APPF20625877301,1
125,APPH30151345509,0
126,APPI50441679612,1
127,APPJ30361269731,1
128,APPL80614874904,1
129,APPM50228117025,0
130,APPN70012683119,1
131,APPO90770468211,1
132,APPP10156766334,1
133,APPQ40631778427,0
134,APPR70506299542,0
135,APPS70665146644,0
136,APPT70349004743,0
137,APPU30993402848,0
138,APPW20622431049,0
139,APPY20361501233,0
140,APPZ10238963306,0
141,APPA30874904437,1
142,APPB80692747529,0
143,APPC30041629643,1
144,APPD30315929734,0
145,APPE10332383835,0
146,APPF50037929916,1
147,APPG10834503041,1
148,APPH40967627122,1
149,APPI70312298206,0
150,APPJ70743728327,0
151,APPK30679331423,0
152,APPL60294817522,1
153,APPM80605571641,0
154,APPO70732754849,1
155,APPR90083345128,1
156,APPS40024724225,1
157,APPT10406402302,0
158,APPU60142311444,0
159,APPX40155362702,0
160,APPY80690085843,0
161,APPZ20729429941,0
162,APPA30531058029,0
163,APPB80250096128,0
164,APPC40216184236,0
165,APPE30598585445,1
166,APPF10464165547,0
167,APPG20162638632,1
168,APPH90167759721,1
169,APPK10401968049,0
170,APPL80146029119,0
171,APPM80613619234,0
172,APPN70433746315,1
173,APPQ50809898611,1
174,APPR30401199701,1
175,APPT30401057907,1
176,APPU40338646029,0
177,APPV90359067103,0
178,APPW10851598244,0
179,APPX40611544343,0
180,APPZ50667726527,0
181,APPA60969495628,0
182,APPB10846839717,1
183,APPD70004475949,0
184,APPE10769524014,1
185,APPF20373584102,1
186,APPG80309102235,1
187,APPH70805423317,1
188,APPI30449607434,0
189,APPK40305944614,1
190,APPM80631303825,0
191,APPN30539354908,1
192,APPO30398314007,1
193,APPP10295059142,0
194,APPQ40182527233,0
195,APPR30592087313,0
196,APPS10451308445,0
197,APPT20436718504,1
198,APPV10000594728,1
199,APPW70591476837,0
200,APPX90545539932,1
201,APPZ20555868104,1
202,APPB50601165302,1
203,APPC20734091446,1
204,APPD30922661508,0
205,APPG30388623817,1
206,APPI50436511029,1
207,APPK40504961223,1
208,APPL10249834346,1
209,APPM10566295434,1
210,APPN20971698507,1
211,APPQ40557318821,0
212,APPR10411907921,0
213,APPS60110651012,0
214,APPT90980498131,0
215,APPU30110017218,1
216,APPW20800678439,0
217,APPY20781789607,1
218,APPA50891789808,0
219,APPB30105755939,1
220,APPC10078523014,0
221,APPD10297832113,0
222,APPF10931767336,0
223,APPG80133423412,1
224,APPH30423329507,1
225,APPI70671544622,0
226,APPJ70709397705,0
227,APPK30507806814,0
228,APPL20563609928,1
229,APPN60526055126,1
230,APPO60496324234,0
231,APPP90372528312,1
232,APPQ50563508447,0
233,APPR60834219523,0
234,APPS90066401613,0
235,APPT60413282714,1
236,APPU80357653811,1
237,APPV50558107929,1
238,APPW80305276026,0
239,APPX40140715111,0
240,APPY80579525228,1
241,APPA60414888433,0
242,APPB90587842501,0
243,APPC40254714615,0
244,APPD90427937716,0
245,APPE40482289843,0
246,APPF90606858947,1
247,APPG20179041024,1
248,APPH10099261128,0
249,APPI80998283208,1
250,APPJ50706714349,0
251,APPK60768689411,0
252,APPL60280043529,1
253,APPM30351953604,1
254,APPN40064845722,0
255,APPO80082812849,0
256,APPP40129305907,0
257,APPR70479248144,0
258,APPS30106692249,0
259,APPT70183535323,1
260,APPV30072491521,1
261,APPW90317034634,1
262,APPX10590833748,1
263,APPZ50321995912,0
264,APPC20846683233,1
265,APPD30035557339,1
266,APPE60995955439,1
267,APPF40348771514,1
268,APPG60525674638,1
269,APPI60914532813,0
270,APPJ50135705908,1
271,APPK80834239033,1
272,APPL30367787124,1
273,APPM50365154243,0
274,APPN60371739317,0
275,APPO90778031432,1
276,APPP10865119541,0
277,APPR60514036704,0
278,APPS30033507847,1
279,APPU80509074044,1
280,APPV50034531107,0
281,APPW70561238232,0
282,APPX20526775327,0
283,APPY20169747403,1
284,APPZ30470877547,1
285,APPA90185538648,0
286,APPB60274853705,0
287,APPC50411636801,0
288,APPD80328934945,0
289,APPE10454749046,0
290,APPF20010751138,0
291,APPG60276348205,1
292,APPH60664183321,1
293,APPL20765168747,1
294,APPM20147299813,0
295,APPN40249546913,1
296,APPO20189822007,1
297,APPP30921307109,1
298,APPQ30597277245,1
299,APPS30996555403,1
300,APPU10700307616,0
301,APPV60265399723,0
302,APPW70585071834,1
303,APPX70561392933,0
304,APPY40565011007,1
305,APPZ40098878108,0
306,APPA90060573227,1
307,APPB70442734319,1
308,APPC90770072447,1
309,APPD30486092544,0
310,APPE10311022607,1
311,APPF60631085717,0
312,APPH30090413902,1
313,APPI70634288016,1
314,APPJ90523144107,1
315,APPK90851579202,1
316,APPL50238334324,1
317,APPM40451325417,0
318,APPN90929804518,1
319,APPO60090588603,1
320,APPP10007148712,1
321,APPR30909888915,1
322,APPS20728482014,0
323,APPT90977075101,0
324,APPU70624065235,0
325,APPV80263885346,1
326,APPW30836935416,0
327,APPX10532151548,0
328,APPZ40286609738,1
329,APPB40188979941,0
330,APPC90796515024,1
331,APPD40803081115,1
332,APPE30694295241,0
333,APPG30216561448,1
334,APPI30712489617,0
335,APPJ10278243703,1
336,APPK80277621846,1
337,APPL80078362905,0
338,APPO60098103209,1
339,APPP60023927349,0
340,APPQ30612604402,0
341,APPS60320313627,0
342,APPT70534587715,1
343,APPU90780836829,1
344,APPV60622819917,0
345,APPW70434264005,0
346,APPX20729451101,0
347,APPY30046504231,1
348,APPZ80350479313,0
349,APPA80096183429,1
350,APPB70273443505,1
351,APPE50142203809,1
352,APPF10034408943,0
353,APPH90511677131,0
354,APPI30546095229,1
355,APPJ80416595345,1
356,APPK90285872443,0
357,APPL60953579512,1
358,APPM20644925619,1
359,APPN20225869714,0
360,APPP90991305913,1
361,APPQ70050552026,0
362,APPR60767582147,0
363,APPT70410545308,0
364,APPU10135235412,0
365,APPW10606832628,1
366,APPX60227485706,1
367,APPY90764876839,1
368,APPZ20628084928,0
369,APPA80547519048,0
370,APPB20703102133,1
371,APPC90727362248,0
372,APPD20670011304,0
373,APPE60844191408,0
374,APPF30948581526,0
375,APPG60202918616,1
376,APPH40712615721,0
377,APPI10123409842,1
378,APPL30082033114,0
379,APPO60813926409,0
380,APPQ80765126647,1
381,APPS30481303817,0
382,APPT50402483936,0
383,APPU40449068016,1
384,APPV90997847138,1
385,APPW30766041243,0
386,APPX50585681323,1
387,APPZ50469333546,1
388,APPA50959811611,0
389,APPB70963575742,0
390,APPC40538253839,1
391,APPD70917584927,0
392,APPE30737089003,1
393,APPF10850926136,0
394,APPG90248489235,1
395,APPH90860947347,0
396,APPI30734581444,1
397,APPJ70071568525,1
398,APPK30063345602,1
399,APPL90511325735,1
400,APPM40335888826,0
401,APPN40298397941,0
402,APPO80337469005,1
403,APPP30205342136,1
404,APPQ50283384214,1
405,APPR60598764318,1
406,APPS20640034406,1
407,APPT90434682534,0
408,APPU70260393644,1
409,APPV50716587732,1
410,APPW10401854821,1
411,APPX20748215949,1
412,APPY80151839018,0
413,APPZ20847918104,0
414,APPA40955069224,0
415,APPB90344945306,1
416,APPC50897719435,0
417,APPD50349215529,1
418,APPE70565133611,0
419,APPG50350411819,0
420,APPH20483931906,1
421,APPI50849415049,0
422,APPK20493991213,1
423,APPN50273626514,1
424,APPO30358993611,0
425,APPP50812246721,0
426,APPQ90569518805,0
427,APPT50959734121,0
428,APPU30391605237,1
429,APPV10348801322,0
430,APPW50845645427,1
431,APPX40979259506,1
432,APPY50204128621,0
433,APPA60880974809,1
434,APPB20886378947,0
435,APPC30956683003,0
436,APPE10435608217,0
437,APPF20103964341,0
438,APPG30196114449,0
439,APPH50862821513,1
440,APPI10377217633,0
441,APPJ40318634703,1
442,APPM50493632023,0
443,APPN70135738135,1
444,APPO30500359204,1
445,APPQ80619273444,0
446,APPR70171181506,1
447,APPU40937622821,1
448,APPV10152372903,1
449,APPW80854596047,0
450,APPX20730045102,0
451,APPY70095057223,0
452,APPA70723537417,0
453,APPB60633627527,1
454,APPC30478072638,0
455,APPD50010786702,1
456,APPE80613844816,0
457,APPF50610589929,1
458,APPG70204563004,0
459,APPH80422312114,1
460,APPJ90415776326,1
461,APPL90567985525,0
462,APPM80261604604,1
463,APPN10895363735,0
464,APPO20329016835,0
465,APPP70992643945,1
466,APPQ70988263029,1
467,APPR10955461104,0
468,APPS30719919248,1
469,APPT20588324318,1
470,APPV40049329532,1
471,APPW80397099634,0
472,APPX20702505723,1
473,APPY10029957813,1
474,APPZ80819366935,1
475,APPA90796576001,1
476,APPB70518925115,1
477,APPC40074048231,1
478,APPD20648321326,0
479,APPE90246258437,1
480,APPG70211933607,1
481,APPH60005159726,0
482,APPI30409973811,1
483,APPJ90195613931,1
484,APPK10530691012,1
485,APPL10671243123,0
486,APPM30057411226,0
487,APPN80382708322,0
488,APPO50017247431,1
489,APPP50761342522,1
490,APPQ40936455614,1
491,APPR20583127717,0
492,APPS30067286823,1
493,APPT90531986944,1
494,APPU90736089015,0
495,APPV40154339146,1
496,APPW30591601244,0
497,APPX30176348336,0
498,APPY30009488439,1
499,APPA30513853629,0
500,APPB40862724718,0
501,APPC80706361802,0
502,APPD80257174926,0
503,APPF90610127116,1
504,APPG50800894218,0
505,APPH10874683343,1
506,APPJ70086622521,1
507,APPK10506826628,1
508,APPL60670161709,0
509,APPM80727669838,0
510,APPN40027149928,1
511,APPO20698513007,0
512,APPP80784417128,1
513,APPQ30582873222,1
514,APPT20658552518,1
515,APPU50261418636,0
516,APPV90166599713,0
517,APPX50323665945,0
518,APPY40761804047,0
519,APPA30678622245,1
520,APPB70155594305,0
521,APPC20459579426,1
522,APPE40720565633,0
523,APPG80335981838,1
524,APPH70817208942,0
525,APPI80664442022,1
526,APPJ60923719128,1
527,APPK80835112207,0
528,APPL10258501346,0
529,APPM40486124431,0
530,APPN40934205501,0
531,APPO90348632645,1
532,APPP70738559708,0
533,APPQ20260307818,0
534,APPR10617393948,0
535,APPS50490061009,0
536,APPT20521426122,0
537,APPU40667541249,1
538,APPV70982889332,1
539,APPW70207344401,0
540,APPY20595005627,1
541,APPZ90679413746,0
542,APPA80968387846,0
543,APPB10181429936,0
544,APPC80319465017,0
545,APPD30224414106,1
546,APPE40675752239,1
547,APPF30598434318,1
548,APPG10909392412,1
549,APPI80807172627,1
550,APPJ40588579728,1
551,APPK40122794819,1
552,APPL70644406925,0
553,APPM50146629037,0
554,APPN50194037112,0
555,APPO80528504202,0
556,APPP90001136326,0
557,APPQ60363444432,0
558,APPR40192335533,1
559,APPS20313284631,0
560,APPU90008251826,0
561,APPV40963963905,0
562,APPW90895783007,1
563,APPY70272002231,1
564,APPZ70995862325,0
565,APPA60052579418,0
566,APPB30839934525,1
567,APPC80117963607,0
568,APPD60155065706,1
569,APPF60426588931,1
570,APPG20002638029,1
571,APPJ90399089306,1
572,APPK10673004441,1
573,APPL10291525522,1
574,APPN50643036726,0
575,APPO50384656809,0
576,APPP10197677918,1
577,APPR60433381148,0
578,APPS90460278201,1
579,APPT90453349315,1
580,APPV10856331511,1
581,APPW10346444622,0
582,APPX40003814744,0
583,APPY40607074836,0
584,APPZ20878753922,1
585,APPB90947953116,1
586,APPC30244653244,0
587,APPD20393274307,1
588,APPE30720169418,0
589,APPF80400365533,1
590,APPG50912211643,1
591,APPH90695628721,1
592,APPI60889013803,0
593,APPJ30530858912,1
594,APPK60115011038,0
595,APPL50504497148,1
596,APPN30899469318,1
597,APPO60576014441,1
598,APPP60395216522,1
599,APPR90095208714,1
600,APPS40247522839,1
601,APPT20878502936,0
602,APPU80990895012,1
603,APPX60546379341,1
604,APPY80212429406,0
605,APPZ30412063529,0
606,APPA60043101615,0
607,APPB40707677725,0
608,APPC90259188819,0
609,APPD10790684933,1
610,APPF80642261133,0
611,APPH60274315313,1
612,APPI30503523408,1
613,APPJ50037998522,0
614,APPK50376976645,1
615,APPL80033873724,0
616,APPM30928795827,1
617,APPN80074354911,1
618,APPO40869866045,0
619,APPP60223518132,1
620,APPR30862361307,1
621,APPS90992466418,0
622,APPT80530522524,1
623,APPU40105818634,1
624,APPV30295003703,1
625,APPX70803048934,1
626,APPY40448585045,0
627,APPZ70851473117,0
628,APPA20226245224,0
629,APPB80397858345,0
630,APPD40494675534,0
631,APPE10239389624,0
632,APPF80370161727,0
633,APPG20047527833,1
634,APPH10119488946,0
635,APPI30881803033,0
636,APPK60089998215,0
637,APPL90184636316,0
638,APPM80578506406,0
639,APPN40875063533,0
640,APPO60310607619,0
641,APPQ50251697807,0
642,APPR30583866905,1
643,APPT40009839105,0
644,APPU60500007217,0
645,APPV80507263336,1
646,APPX10204913528,0
647,APPY60398889635,1
648,APPC40648685035,0
649,APPF60322568333,1
650,APPG50372385406,0
651,APPH60763287527,1
652,APPI20724487638,1
653,APPJ70247368706,1
654,APPK80907917828,0
655,APPL10860241917,1
656,APPM70052327002,1
657,APPN70307834109,1
658,APPO90437674246,1
659,APPQ50874592435,0
660,APPR70129689508,0
661,APPS80600773649,0
662,APPT90981629731,1
663,APPU40295361806,1
664,APPV60299437907,1
665,APPW70728038023,0
666,APPX10516665117,0
667,APPY60643965246,0
668,APPZ30605972345,0
669,APPA10462798435,0
670,APPB30355581512,1
671,APPC10547586633,1
672,APPD30326204749,0
673,APPF20865309933,0
674,APPG80799062009,0
675,APPH90823905114,0
676,APPI90405604214,0
677,APPJ30541982333,1
678,APPK10394686427,1
679,APPL80299821536,1
680,APPO50580562845,0
681,APPR60582164106,1
682,APPS70081155228,0
683,APPT30845477337,1
684,APPU30980031412,0
685,APPV70464554521,0
686,APPX70389132712,0
687,APPA90840046026,0
688,APPB30964006113,0
689,APPC40548793239,0
690,APPF30363371528,0
691,APPG80320819611,0
692,APPI60804836831,0
693,APPJ50916503948,0
694,APPK70104158035,0
695,APPL90784267109,0
696,APPM60327772214,1
697,APPN50730574308,0
698,APPP10017517528,0
699,APPR60543802701,1
700,APPS50905623843,0
701,APPV80884919113,0
702,APPW60958408218,1
703,APPX50989172344,0
704,APPZ70223988524,0
705,APPA80126265634,1
706,APPB70148806716,1
707,APPD20210274913,1
708,APPF60247891103,0
709,APPG70781842233,1
710,APPH80949514333,0
711,APPI10292895401,1
712,APPJ40080942533,0
713,APPK70551488646,0
714,APPM60329923838,1
715,APPO90884124024,0
716,APPP70177506138,1
717,APPQ20329124207,1
718,APPR50010813324,1
719,APPS20472229428,0
720,APPT30003743534,0
721,APPU30761024625,1
722,APPV60440774719,1
723,APPW10802427848,0
724,APPX50847001901,0
725,APPY90597705025,0
726,APPA20178796211,1
727,APPB60968669303,1
728,APPC50713459422,1
729,APPD30017534507,0
730,APPE80754081602,0
731,APPG60440413843,1
732,APPK10479702245,0
733,APPL20754956313,1
734,APPM10216063412,0
735,APPN60622229526,0
736,APPO90527013648,1
737,APPP80662398735,0
738,APPQ50372915823,1
739,APPR80054558907,0
740,APPS40654445026,1
741,APPT30673148148,1
742,APPU50149699219,1
743,APPV60642722334,0
744,APPY50783877649,1
745,APPZ30417006702,0
746,APPB80039471925,1
747,APPC80399226017,0
748,APPE60500761238,0
749,APPF30442909319,1
750,APPG60792418401,0
751,APPH30850229543,0
752,APPJ20645523707,1
753,APPK40338347833,0
754,APPN80082502125,1
755,APPO10505658228,0
756,APPR80255496544,0
757,APPT10572952745,0
758,APPU20598092845,1
759,APPV90681978947,1
760,APPW70051742049,0
761,APPA20712823448,1
762,APPB10936759508,0
763,APPC90878353641,1
764,APPD40625665742,0
765,APPE60401478849,0
766,APPF10819225912,1
767,APPH60409321104,1
768,APPI40406169214,0
769,APPK70748566447,1
770,APPL80817915513,1
771,APPM20939483648,1
772,APPN40698099726,0
773,APPO40348743807,0
774,APPP50048656911,1
775,APPQ60415477022,1
776,APPR40366769123,1
777,APPS20684438241,1
778,APPT70167942303,0
779,APPU90150979438,0
780,APPV20841539501,1
781,APPW70091326638,0
782,APPX90732106746,0
783,APPY40530322831,1
784,APPB80234335131,1
785,APPC70998952234,0
786,APPD20330233349,0
787,APPE30465233427,1
788,APPG20987931624,1
789,APPH10434483737,0
790,APPI70725565825,0
791,APPJ10932151905,0
792,APPK80755971043,1
793,APPL20227248105,0
794,APPN30234861315,0
795,APPO40425986436,1
796,APPP30570536526,0
797,APPQ50623987613,1
798,APPR70615937709,1
799,APPS50709998824,1
800,APPT10481824943,1
801,APPV10805168102,0
802,APPW30713575209,1
803,APPX20786783312,1
804,APPZ20137229548,1
805,APPA10777598643,0
806,APPB10238193739,0
807,APPC60937831819,0
808,APPD40879787937,1
809,APPE10746511009,1
810,APPG70116873221,0
811,APPH60759359311,0
812,APPI80960371427,0
813,APPJ80266871524,0
814,APPL20217168732,0
815,APPM50253644839,1
816,APPN30566416936,1
817,APPQ60952678219,0
818,APPR20768147343,0
819,APPS80161471444,0
820,APPT10583047535,0
821,APPU70189189618,1
822,APPV40375251728,0
823,APPW10374351829,0
824,APPB80903716327,1
825,APPC10932919406,0
826,APPD10566895548,1
827,APPE10004344611,1
828,APPF30052459708,1
829,APPG10165103807,1
830,APPH60585308913,1
831,APPJ80169425132,0
832,APPN40133951514,0
833,APPO70825221623,1
834,APPP30515299733,1
835,APPQ30997938814,1
836,APPR70759005931,0
837,APPS60743807032,0
838,APPT40147771124,0
839,APPU10362081222,1
840,APPV10067092305,0
841,APPW60790703401,0
842,APPY50651214638,0
843,APPZ70000076728,0
844,APPA70071764828,0
845,APPB40101691906,1
846,APPC90630266002,1
847,APPD20458304139,1
848,APPE80937839246,1
849,APPF50996514326,0
850,APPG90824371441,1
851,APPI70777986624,1
852,APPK50842361847,1
853,APPL40333364925,1
854,APPM80217769016,1
855,APPN50153115116,0
856,APPO60741967222,0
857,APPQ20674162438,0
858,APPR30323619537,1
859,APPT90742429747,0
860,APPU30920193816,1
861,APPV70350917927,0
862,APPW10744084017,0
863,APPX30723225128,1
864,APPY40550372216,0
865,APPZ70245826322,0
866,APPA90867091418,1
867,APPC70283368632,0
868,APPD50833684742,1
869,APPE60005273829,1
870,APPG40455243027,0
871,APPI70435364248,1
872,APPJ30501483332,1
873,APPL60733333536,1
874,APPM20270476616,1
875,APPN10684433747,1
876,APPO70926967834,0
877,APPP60165679917,1
878,APPQ50887815015,1
879,APPR40058092125,1
880,APPW20894596606,1
881,APPX90914304715,1
882,APPY50726728828,1
883,APPA10931003041,1
884,APPB10118714127,0
885,APPC30649851207,1
886,APPD90790279316,0
887,APPE90691725437,1
888,APPF80579709522,1
889,APPG20387756634,1
890,APPH70209197706,0
891,APPI80531795819,0
892,APPJ20271814927,1
893,APPK90259624022,0
894,APPL70881987122,0
895,APPN40699372329,1
896,APPO90692315409,1
897,APPP70024216526,0
898,APPQ60150322626,0
899,APPT30397619913,1
900,APPV80410869104,1
901,APPW90423249212,0
902,APPX30533682307,1
903,APPA60820075625,0
904,APPC30532981847,0
905,APPD30991138931,0
906,APPE30194971042,1
907,APPF10274725112,0
908,APPG30691021234,1
909,APPI90330603413,0
910,APPJ80873022511,1
911,APPK80882144635,0
912,APPL40787854714,1
913,APPM60951016813,1
914,APPN40097556905,1
915,APPO10048856018,1
916,APPP50313364116,0
917,APPQ60685702209,0
918,APPR80769057303,0
919,APPS60484582421,0
920,APPT20265944515,0
921,APPU60698452634,1
922,APPV90553844741,1
923,APPX10454026929,0
924,APPY60221154038,0
925,APPZ50692271143,1
926,APPA20487807241,1
927,APPB90138388316,0
928,APPC20367071415,1
929,APPD70372848523,1
930,APPF90375456744,0
931,APPG90926318847,1
932,APPH90191933949,1
933,APPI40737416014,1
934,APPJ70299065141,1
935,APPK10841912208,0
936,APPL90147466323,1
937,APPM70247604438,1
938,APPN20640417538,0
939,APPO30530834604,1
940,APPP30423983718,0
941,APPQ80798251818,0
942,APPR10050199928,1
943,APPS70052521004,1
944,APPT90159132109,0
945,APPV30747689323,0
946,APPW80366833422,0
947,APPX30462776511,1
948,APPY20350177606,0
949,APPZ50294623747,0
950,APPC10986152021,1
951,APPD70632785141,1
952,APPE20816728241,0
953,APPF60995928321,1
954,APPG50879221403,0
955,APPH90417584529,1
956,APPI40907214607,0
957,APPJ70157178721,0
958,APPK40869096846,0
959,APPL10081417904,0
960,APPN40646297128,0
961,APPO70952793216,1
962,APPP60824612325,0
963,APPQ30121411448,1
964,APPR40989308546,0
965,APPS60722964622,0
966,APPT20561353727,0
967,APPU60321385829,1
968,APPV60109444902,1
969,APPW20920728019,1
970,APPX60124189142,0
971,APPY90458773213,0
972,APPZ20029354319,0
973,APPA90083961436,0
974,APPB10565448515,0
975,APPC50637162604,1
976,APPD60752705736,0
977,APPE70236124833,0
978,APPF50119817927,0
979,APPG20678003028,0
980,APPH70745494135,1
981,APPI30585942205,1
982,APPM10928848635,1
983,APPO60506316827,0
984,APPP60556013938,1
985,APPQ60929743047,1
986,APPR40538565133,0
987,APPT60829242333,0
988,APPV60867466529,0
989,APPW60231929623,0
990,APPY20169499802,1
991,APPZ50739542935,0
992,APPA10681882037,0
993,APPB70549594106,1
994,APPC30982809211,1
995,APPD90642252321,0
996,APPF70156602511,0
997,APPG70335609647,0
998,APPH90870618723,1
999,APPI80106741831,1
1000,APPJ20012529941,1
1001,APPL20167225111,1
1002,APPM10759302219,0
1003,APPN70255623326,1
1004,APPO70269577438,1
1005,APPP60634366545,0
1006,APPQ50928393614,1
1007,APPS20978654816,0
1008,APPU80436993019,0
1009,APPV50525543136,1
1010,APPW50398116244,1
1011,APPX90495375319,0
1012,APPY60585141416,1
1013,APPZ50694328547,1
1014,APPA90489846643,0
1015,APPB30699241717,0
1016,APPC90637488816,1
1017,APPE60048886049,0
1018,APPF80192962146,0
1019,APPG30065449218,1
1020,APPH20361708347,0
1021,APPI70754428424,0
1022,APPK40737685636,0
1023,APPL80249532709,1
1024,APPN40932943902,0
1025,APPO10003576013,1
1026,APPP40474885137,1
1027,APPQ50832706228,0
1028,APPS10546691425,1
1029,APPT90354757547,1
1030,APPV60539348703,0
1031,APPX20682523924,1
1032,APPY80212868048,0
1033,APPZ20244268138,0
1034,APPA60288191215,1
1035,APPB30500205306,0
1036,APPC20403304405,0
1037,APPD70239142549,1
1038,APPE70488268602,0
1039,APPF50378653703,1
1040,APPG60630965843,0
1041,APPH80623257947,1
1042,APPI80722124022,1
1043,APPJ80355264132,1
1044,APPL20933487326,0
1045,APPM70429835437,0
1046,APPN60323728548,0
1047,APPO50805109608,0
1048,APPP10313563738,0
1049,APPQ40842695844,1
1050,APPR50599733908,1
1051,APPS30946031023,0
1052,APPY50372219626,0
1053,APPZ10320089749,1
1054,APPA90807458849,0
1055,APPB70891739949,0
1056,APPC90760358018,0
1057,APPD90243791132,1
1058,APPE40932823206,0
1059,APPF50504207306,0
1060,APPG30109796435,0
1061,APPH30675933531,1
1062,APPL70152373911,1
1063,APPM10382775004,1
1064,APPN60964684104,0
1065,APPO60202292234,1
1066,APPP50250817303,1
1067,APPQ70523261433,0
1068,APPS80959976642,1
1069,APPU80713413818,0
1070,APPW40319096039,0
1071,APPZ10502356327,1
1072,APPB90654973531,1
1073,APPC20629386648,1
1074,APPE90533311834,1
1075,APPF50669916947,1
1076,APPG70322272015,0
1077,APPH90838741118,1
1078,APPI20067877211,0
1079,APPJ10851447308,0
1080,APPK90633468413,1
1081,APPL80101931549,0
1082,APPM90342125645,1
1083,APPN20424832712,0
1084,APPO50960889827,1
1085,APPP10240177948,0
1086,APPQ30579843012,1
1087,APPS70411532246,1
1088,APPT10957011306,1
1089,APPW40262126641,1
1090,APPX20120739716,0
1091,APPY50051752802,0
1092,APPZ20372657937,0
1093,APPB80521245119,1
1094,APPC10741377204,1
1095,APPD60798335335,1
1096,APPE60685956406,1
1097,APPF40533581504,0
1098,APPH40139475731,1
1099,APPJ10223129945,0
1100,APPL50284303141,1
1101,APPM20093438246,1
1102,APPN10332852327,1
1103,APPO40334819408,0
1104,APPP20558884535,0
1105,APPQ40485957607,0
1106,APPR80465143721,1
1107,APPS80919762845,1
1108,APPT10950601941,1
1109,APPU90309821012,1
1110,APPW50658621231,0
1111,APPX20670092345,1
1112,APPZ50473883517,1
1113,APPA80541252615,1
1114,APPB30459814728,1
1115,APPC80741275842,1
1116,APPD30437014907,1
1117,APPF20860122101,1
1118,APPH60834723311,0
1119,APPJ50754958542,1
1120,APPK10227833623,0
1121,APPL30719293733,1
1122,APPM20085969803,0
1123,APPN80769386901,1
1124,APPP90420519147,0
1125,APPQ20596664216,1
1126,APPR60939583343,0
1127,APPS40709126414,0
1128,APPU40347507609,1
1129,APPV70257863724,0
1130,APPW60132515813,1
1131,APPX70691112932,0
1132,APPY80264898005,0
1133,APPZ90643363143,1
1134,APPA70941909236,0
1135,APPB60036583321,0
1136,APPC20207981408,1
1137,APPD10434883533,0
1138,APPE80681917608,1
1139,APPF90423312714,0
1140,APPH70861745902,0
1141,APPI60319277044,0
1142,APPJ30544699136,0
